RCON5562,RCON5563,RCON5564,RCON5565,RCON5566,RCON5567,RCON5568,RCON5569,RCON5570,RCON5571,RCON5572,RCON5573,RCON5574,RCON5575,RCON5576,RCON5577,RCON5578,RCON5579,RCON5580,RCON5581,RCON5582,RCON5583,RCON5584,RCON5585,RCON5586,RCON5587,RCON5588,RCON5589,RCON6860,RCON6999,IDRSSD,RCON9999
100,65,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,true,true,37,2006-06-30
68,106,0,0,0,0,0,0,0,0,0,0,0,0,46,91,0,0,0,0,0,0,0,0,0,0,0,0,true,true,242,2006-06-30
0,0,39,1492,17,2577,8,2902,43,742,3,355,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,true,false,279,2006-06-30
1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,true,true,354,2006-06-30
0,0,159,4504,69,9734,46,17121,458,7506,64,6236,16,3879,0,0,106,3099,33,4343,13,3276,70,1293,4,363,0,0,false,false,439,2006-06-30
0,0,15,760,2,307,6,2256,51,1135,8,856,5,1307,40,233,0,0,0,0,0,0,0,0,0,0,0,0,true,false,457,2006-06-30
0,0,33,1772,22,3186,38,17274,128,3157,18,2875,10,3994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,505,2006-06-30
0,0,39,1621,50,6320,50,20221,190,3495,26,2489,8,3327,0,0,5,140,2,418,1,292,0,0,0,0,0,0,false,false,1146,2006-06-30
0,0,40,1347,31,3864,36,13868,202,4982,49,4159,44,12568,0,0,12,546,5,655,1,344,55,1370,6,683,9,2055,false,false,1155,2006-06-30
0,0,140,4213,13,1761,11,4904,551,9216,19,2170,7,2516,0,0,115,4323,33,4078,3,1098,302,3184,4,549,1,294,false,false,1351,2006-06-30
0,0,205,20078,58,6536,28,11813,613,28638,27,2828,14,4342,0,0,21,1756,4,547,6,2085,75,3255,0,0,0,0,false,false,1454,2006-06-30
0,0,9,219,264,1035,1,419,38,405,2,290,0,0,44,290,0,0,0,0,0,0,0,0,0,0,0,0,true,false,1557,2006-06-30
0,0,160,6409,84,11135,114,43566,1039,17894,110,11194,59,16900,0,0,38,1090,16,2186,5,1285,92,1733,25,2181,3,526,false,false,1632,2006-06-30
133,266,0,0,0,0,0,0,0,0,0,0,0,0,4,160,0,0,0,0,0,0,0,0,0,0,0,0,true,true,1669,2006-06-30
