RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
6557,0,1822,6219,0,13126,0,0,0,0,48957,0,1580,,28348,3422,3734,11304,47377,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2003-03-31
2920,1,1183,3603,0,7710,0,0,0,0,13868,0,624,,8075,1099,1148,6526,13244,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2003-03-31
8636,0,0,1920,0,8844,0,0,0,0,70766,0,0,,41417,1899,8585,8844,70766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2003-03-31
791,0,60,1300,0,1300,0,0,0,0,5984,0,1481,,3203,1291,0,1240,4503,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2003-03-31
16330,9,6249,31198,0,48143,0,0,3017,0,88914,0,4726,,43322,6427,0,41870,84188,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2003-03-31
2421,0,224,2444,0,4078,0,0,396,0,16047,0,1392,,8676,3172,567,3854,14259,0,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2003-03-31
68501,25,9335,42394,0,67353,0,0,0,0,170289,0,28252,,48069,28032,8163,57993,141737,0,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2003-03-31
82729,0,1063,59255,0,94891,0,0,0,0,222833,0,9987,,64259,38247,10764,93401,212513,427,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2003-03-31
563,17,1052,13917,0,43982,0,0,0,0,71562,0,10533,,45064,9968,8466,42850,61029,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2003-03-31
3158,5,4025,8873,0,16775,0,0,0,0,63748,0,2196,,35793,12806,4735,12745,61552,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2003-03-31
