RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2343,RCON2344,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON2604,RCON5590,RCON6648,RCON6810,RCON6835,RCONA241,RCONA242,RCONA243,RCONA244,RCONA579,RCONA580,RCONA581,RCONA582,RCONA584,RCONA585,RCONA586,RCONA587,RCONB549,RCONB550,RCONB551,RCONB552,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT88,RCONMT89,RCONMT90,RCONMT91,RCONMT92,RCONMT93,RCONMT94,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
6081,1,2668,5470,0,13757,0,0,0,0,0,0,47744,0,1678,10196,4345,27929,3538,3610,13622,7024,0,0,3996,10832,7103,5998,1150,7069,882,1095,11088,46066,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2002-12-31
2706,0,1063,3047,0,7092,0,0,0,0,0,0,13522,0,641,1516,1304,8286,1014,1135,5080,1216,0,0,1750,3330,2748,458,0,1216,300,0,6029,12881,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2002-12-31
9096,0,0,1464,0,8709,0,0,0,0,0,0,69133,0,0,16903,0,41273,1860,8421,28241,9857,0,0,12472,15769,12022,1010,4302,5555,7046,0,8709,69133,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2002-12-31
718,0,54,1223,0,1223,0,0,0,0,0,0,5831,0,1415,800,1082,3123,1190,0,3117,800,0,0,1263,1854,6,0,600,200,0,0,1169,4416,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2002-12-31
15697,13,5131,30333,0,46508,0,0,0,0,0,0,85521,0,4873,19101,7342,44479,6244,8571,41362,18151,0,0,13681,27680,2993,125,6811,11340,950,0,41341,80648,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2002-12-31
2212,0,254,2895,0,4676,0,0,495,0,495,0,15809,0,1287,1773,890,8877,2947,579,6963,1363,495,0,2290,4673,1770,144,0,1363,210,200,4422,14027,0,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2002-12-31
61967,50,9156,40857,0,63992,0,0,0,0,0,0,169261,0,27430,27180,34046,51320,28794,8329,35463,18869,0,0,17008,18455,14865,992,9661,9208,8080,231,54786,141631,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2002-12-31
87747,0,1097,52072,0,83920,0,0,0,0,0,0,226637,0,10476,37713,8585,66976,34201,10862,60000,32980,0,0,20264,39806,3312,3594,14091,18889,4417,316,82381,215829,442,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2002-12-31
546,12,603,12630,0,40533,0,0,0,0,0,0,67719,0,10581,13600,10509,42949,10624,0,28139,8813,0,0,9814,18343,11216,3576,4390,4423,1897,2890,39915,57138,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2002-12-31
2944,11,5075,8946,0,17944,0,0,0,0,0,0,62703,0,3229,12546,6814,35149,12064,4646,29448,11001,0,0,9963,19485,5701,0,3781,7220,1545,0,12858,59474,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2002-12-31
