RCFN2200,RCFN2625,RCFN2650,RCFNA245,RCFNB553,RCFNB554,RCFNB555,IDRSSD,RCON9999
,,,,,,,37,2014-06-30
,,,,,,,242,2014-06-30
,,,,,,,279,2014-06-30
,,,,,,,354,2014-06-30
,,,,,,,457,2014-06-30
,,,,,,,505,2014-06-30
,,,,,,,1155,2014-06-30
,,,,,,,1351,2014-06-30
,,,,,,,1454,2014-06-30
,,,,,,,1557,2014-06-30
,,,,,,,1669,2014-06-30
,,,,,,,1829,2014-06-30
,,,,,,,1856,2014-06-30
,,,,,,,2040,2014-06-30
,,,,,,,2161,2014-06-30
,,,,,,,2376,2014-06-30
,,,,,,,2554,2014-06-30
,,,,,,,2732,2014-06-30
,,,,,,,2750,2014-06-30
,,,,,,,3177,2014-06-30
,,,,,,,3252,2014-06-30
,,,,,,,3458,2014-06-30
,,,,,,,3720,2014-06-30
,,,,,,,3971,2014-06-30
,,,,,,,4156,2014-06-30
,,,,,,,4231,2014-06-30
,,,,,,,4437,2014-06-30
,,,,,,,4839,2014-06-30
,,,,,,,5069,2014-06-30
,,,,,,,5135,2014-06-30
,,,,,,,5210,2014-06-30
,,,,,,,5461,2014-06-30
,,,,,,,5751,2014-06-30
,,,,,,,6039,2014-06-30
,,,,,,,6141,2014-06-30
,,,,,,,6329,2014-06-30
,,,,,,,7009,2014-06-30
,,,,,,,7045,2014-06-30
,,,,,,,7072,2014-06-30
,,,,,,,7157,2014-06-30
,,,,,,,7456,2014-06-30
,,,,,,,7634,2014-06-30
,,,,,,,8033,2014-06-30
,,,,,,,8462,2014-06-30
,,,,,,,8631,2014-06-30
,,,,,,,9357,2014-06-30
,,,,,,,9553,2014-06-30
,,,,,,,9807,2014-06-30
,,,,,,,9955,2014-06-30
,,,,,,,10250,2014-06-30
,,,,,,,10849,2014-06-30
,,,,,,,11145,2014-06-30
,,,,,,,11275,2014-06-30
,,,,,,,11640,2014-06-30
,,,,,,,11837,2014-06-30
,,,,,,,12030,2014-06-30
,,,,,,,12142,2014-06-30
,,,,,,,12179,2014-06-30
,,,,,,,12245,2014-06-30
367027,0,0,367027,367027,0,0,12311,2014-06-30
,,,,,,,12647,2014-06-30
,,,,,,,12656,2014-06-30
,,,,,,,12937,2014-06-30
,,,,,,,12946,2014-06-30
,,,,,,,12955,2014-06-30
,,,,,,,13103,2014-06-30
,,,,,,,13251,2014-06-30
,,,,,,,13457,2014-06-30
,,,,,,,14052,2014-06-30
,,,,,,,14155,2014-06-30
,,,,,,,14650,2014-06-30
,,,,,,,14753,2014-06-30
,,,,,,,14865,2014-06-30
,,,,,,,14977,2014-06-30
,,,,,,,16458,2014-06-30
,,,,,,,16551,2014-06-30
,,,,,,,16748,2014-06-30
,,,,,,,16944,2014-06-30
,,,,,,,16953,2014-06-30
,,,,,,,17110,2014-06-30
,,,,,,,17147,2014-06-30
,,,,,,,17259,2014-06-30
,,,,,,,17464,2014-06-30
,,,,,,,17950,2014-06-30
,,,,,,,17978,2014-06-30
,,,,,,,18050,2014-06-30
,,,,,,,18135,2014-06-30
,,,,,,,18377,2014-06-30
,,,,,,,18827,2014-06-30
,,,,,,,18836,2014-06-30
,,,,,,,18854,2014-06-30
,,,,,,,19356,2014-06-30
,,,,,,,19730,2014-06-30
,,,,,,,19936,2014-06-30
,,,,,,,19972,2014-06-30
,,,,,,,20053,2014-06-30
,,,,,,,20512,2014-06-30
,,,,,,,20633,2014-06-30
,,,,,,,20857,2014-06-30
,,,,,,,21256,2014-06-30
,,,,,,,21359,2014-06-30
,,,,,,,21630,2014-06-30
,,,,,,,21658,2014-06-30
,,,,,,,22048,2014-06-30
,,,,,,,22543,2014-06-30
,,,,,,,22552,2014-06-30
,,,,,,,22730,2014-06-30
,,,,,,,22936,2014-06-30
,,,,,,,23045,2014-06-30
,,,,,,,23456,2014-06-30
,,,,,,,23504,2014-06-30
,,,,,,,23643,2014-06-30
,,,,,,,23755,2014-06-30
,,,,,,,24006,2014-06-30
,,,,,,,24378,2014-06-30
,,,,,,,24453,2014-06-30
,,,,,,,24659,2014-06-30
,,,,,,,24668,2014-06-30
,,,,,,,24855,2014-06-30
,,,,,,,24949,2014-06-30
,,,,,,,25357,2014-06-30
,,,,,,,25647,2014-06-30
,,,,,,,26176,2014-06-30
,,,,,,,26242,2014-06-30
,,,,,,,26457,2014-06-30
,,,,,,,26765,2014-06-30
,,,,,,,27070,2014-06-30
,,,,,,,27548,2014-06-30
,,,,,,,27614,2014-06-30
,,,,,,,27847,2014-06-30
,,,,,,,28013,2014-06-30
,,,,,,,28152,2014-06-30
,,,,,,,28255,2014-06-30
,,,,,,,28349,2014-06-30
,,,,,,,28406,2014-06-30
,,,,,,,28675,2014-06-30
,,,,,,,28732,2014-06-30
,,,,,,,29104,2014-06-30
,,,,,,,29476,2014-06-30
,,,,,,,29636,2014-06-30
,,,,,,,29878,2014-06-30
,,,,,,,29953,2014-06-30
,,,,,,,30052,2014-06-30
,,,,,,,30418,2014-06-30
,,,,,,,30502,2014-06-30
,,,,,,,30650,2014-06-30
,,,,,,,30810,2014-06-30
,,,,,,,30874,2014-06-30
,,,,,,,31134,2014-06-30
,,,,,,,31255,2014-06-30
,,,,,,,31657,2014-06-30
,,,,,,,31826,2014-06-30
,,,,,,,31835,2014-06-30
,,,,,,,32234,2014-06-30
,,,,,,,32766,2014-06-30
,,,,,,,32971,2014-06-30
,,,,,,,33147,2014-06-30
,,,,,,,33259,2014-06-30
,,,,,,,33268,2014-06-30
,,,,,,,33370,2014-06-30
,,,,,,,33839,2014-06-30
,,,,,,,33857,2014-06-30
,,,,,,,34153,2014-06-30
,,,,,,,34425,2014-06-30
,,,,,,,34434,2014-06-30
,,,,,,,34452,2014-06-30
,,,,,,,34537,2014-06-30
,,,,,,,34555,2014-06-30
,,,,,,,34742,2014-06-30
,,,,,,,34836,2014-06-30
,,,,,,,35057,2014-06-30
118885930,912248,1143456,2250439,116716668,42242,71316,35301,2014-06-30
,,,,,,,35570,2014-06-30
,,,,,,,35646,2014-06-30
,,,,,,,35842,2014-06-30
,,,,,,,35879,2014-06-30
,,,,,,,36456,2014-06-30
,,,,,,,36933,2014-06-30
,,,,,,,37051,2014-06-30
,,,,,,,37341,2014-06-30
,,,,,,,37435,2014-06-30
,,,,,,,37640,2014-06-30
,,,,,,,37659,2014-06-30
,,,,,,,37743,2014-06-30
,,,,,,,37949,2014-06-30
,,,,,,,38740,2014-06-30
,,,,,,,39327,2014-06-30
,,,,,,,39420,2014-06-30
,,,,,,,39475,2014-06-30
,,,,,,,39756,2014-06-30
,,,,,,,40033,2014-06-30
,,,,,,,40350,2014-06-30
,,,,,,,40499,2014-06-30
,,,,,,,40707,2014-06-30
,,,,,,,40855,2014-06-30
,,,,,,,41245,2014-06-30
,,,,,,,41553,2014-06-30
,,,,,,,41629,2014-06-30
,,,,,,,41825,2014-06-30
,,,,,,,41937,2014-06-30
,,,,,,,41955,2014-06-30
,,,,,,,42037,2014-06-30
,,,,,,,42055,2014-06-30
,,,,,,,42354,2014-06-30
,,,,,,,42372,2014-06-30
,,,,,,,42420,2014-06-30
,,,,,,,42448,2014-06-30
,,,,,,,42457,2014-06-30
,,,,,,,42671,2014-06-30
,,,,,,,43052,2014-06-30
,,,,,,,43351,2014-06-30
,,,,,,,43454,2014-06-30
,,,,,,,43744,2014-06-30
,,,,,,,43856,2014-06-30
,,,,,,,43959,2014-06-30
,,,,,,,44040,2014-06-30
,,,,,,,44433,2014-06-30
,,,,,,,44741,2014-06-30
,,,,,,,44750,2014-06-30
,,,,,,,44929,2014-06-30
,,,,,,,45038,2014-06-30
,,,,,,,45047,2014-06-30
,,,,,,,45056,2014-06-30
,,,,,,,45430,2014-06-30
,,,,,,,45458,2014-06-30
,,,,,,,45551,2014-06-30
,,,,,,,45560,2014-06-30
,,,,,,,45775,2014-06-30
,,,,,,,46053,2014-06-30
,,,,,,,46941,2014-06-30
,,,,,,,47153,2014-06-30
,,,,,,,47247,2014-06-30
,,,,,,,47256,2014-06-30
,,,,,,,47452,2014-06-30
,,,,,,,47500,2014-06-30
,,,,,,,48057,2014-06-30
,,,,,,,48150,2014-06-30
,,,,,,,48374,2014-06-30
,,,,,,,48440,2014-06-30
,,,,,,,49054,2014-06-30
,,,,,,,49148,2014-06-30
,,,,,,,49241,2014-06-30
,,,,,,,49344,2014-06-30
,,,,,,,49643,2014-06-30
,,,,,,,49652,2014-06-30
,,,,,,,49821,2014-06-30
,,,,,,,49858,2014-06-30
,,,,,,,49951,2014-06-30
,,,,,,,50144,2014-06-30
,,,,,,,50461,2014-06-30
,,,,,,,50546,2014-06-30
