RCFD1578,RCFD1752,RCFD2148,RCFD2160,RCFD2166,RCFD2168,RCFD3549,RCFD3550,RCFD3551,RCFDA519,RCFDA520,RCFDB556,RCFDC009,RCFDC010,RCFDFT33,RCFDFT34,RCFDFT35,RCFDHT80,RCFDK201,RCFDK202,RCFDK270,RCON1578,RCON1752,RCON2148,RCON2160,RCON2166,RCON2168,RCON3549,RCON3550,RCON3551,RCONB556,RCONC010,RCONFT33,RCONFT34,RCONFT35,RCONHT80,RCONK201,RCONK202,RCONK270,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,0,79,0,917,53,207,0,0,0,631,0,,,,,0,0,0,37,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,275,0,533,0,5,0,0,0,253,0,,,,,0,0,0,242,2015-12-31
,,,,,,,,,,,,,,,,,,,,,5,1935,366,7600,90,102,0,0,0,844,0,,,,,4353,0,0,279,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,5,68,145,0,0,0,0,0,72,0,,,,,0,0,0,354,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,265,0,1290,0,22,0,0,0,387,0,,,,,616,0,0,457,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,2692,0,12167,0,3706,2414,0,0,1201,0,,,,,4568,0,0,505,2015-12-31
,,,,,,,,,,,,,,,,,,,,,7,232,0,5541,81,158,0,0,0,1032,0,,,,,4119,0,0,1155,2015-12-31
,,,,,,,,,,,,,,,,,,,,,32,0,0,1492,152,238,54,0,0,1254,0,,,,,0,0,0,1351,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1087,0,10043,843,843,0,0,0,2843,0,,,,,5270,0,0,1454,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,605,0,1408,0,4,0,0,0,799,0,,,,,0,0,0,1557,2015-12-31
,,,,,,,,,,,,,,,,,,,,,3,166,882,12395,185,221,0,0,0,1210,0,,,,,9102,814,0,1669,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,4020,77,12959,815,1435,0,0,0,1157,0,,,,,6270,0,0,1829,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1760,0,2177,96,96,0,0,0,321,0,,,,,0,0,0,1856,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1546,1574,8706,592,703,0,0,0,748,39,,,,,3833,0,302,2040,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,349,0,4504,144,160,0,0,0,966,0,,,,,3029,0,0,2161,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,39762,41736,189324,649,6200,2206,0,0,9643,1593,,,,,73873,0,18110,2376,2015-12-31
,,,,,,,,,,,,,,,,,,,,,31,44,0,187,38,69,0,0,0,74,0,,,,,0,0,0,2554,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,174,1307,3473,131,500,0,0,0,1492,0,,,,,0,0,0,2732,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,412,0,1560,271,271,0,0,0,877,0,,,,,0,0,0,2750,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,5864,3369,38041,864,2002,0,0,0,2349,0,,,,,12959,0,11498,3177,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,765,0,3898,562,934,369,0,0,2199,0,,,,,0,0,0,3252,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,192,0,733,47,186,125,0,0,355,0,,,,,0,0,0,3458,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,225,835,8385,98,100,0,0,0,969,0,,,,,3740,0,2516,3720,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1799,1589,23121,1758,4374,0,0,0,2627,0,,,,,12732,0,0,3971,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,595,0,5777,0,175,0,0,0,1076,0,,,,,2969,0,962,4156,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,0,243,1030,104,165,0,0,0,622,0,,,,,0,0,0,4231,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,339,1270,8748,156,187,0,0,0,645,0,,,,,6307,0,0,4437,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1134,0,3106,315,609,56,0,0,1363,0,,,,,0,0,0,4839,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,0,558,4596,653,2198,1505,0,0,1840,0,,,,,0,0,0,5069,2015-12-31
,,,,,,,,,,,,,,,,,,,,,16,1270,1368,13552,439,511,0,0,0,5167,0,,,,,5236,0,0,5135,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,3978,2003,60556,0,11917,10210,0,0,3016,0,,,,,33856,0,5786,5210,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,2271,0,9488,0,4386,1256,2000,0,2009,0,,,,,822,0,0,5461,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,344,0,6343,149,188,0,0,0,1560,0,,,,,2541,322,1388,5751,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,76,99,1137,0,420,321,0,0,542,0,,,,,0,0,0,6039,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,0,14,431,107,107,0,0,0,310,0,,,,,0,0,0,6141,2015-12-31
,,,,,,,,,,,,,,,,,,,,,446,441,658,13268,1319,3085,0,0,0,2512,0,,,,,3784,0,2788,6329,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,0,539,5773,0,3150,2182,0,0,2084,0,,,,,0,0,0,7009,2015-12-31
,,,,,,,,,,,,,,,,,,,,,5,751,0,2544,203,745,0,0,0,1048,0,,,,,0,0,0,7045,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1999,2785,11489,299,3006,2357,151,98,578,0,,,,,3121,0,0,7072,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,23,1,378,43,71,28,0,0,283,0,,,,,0,0,0,7157,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,389,0,1412,0,221,177,0,0,802,0,,,,,0,0,0,7456,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,88,0,682,99,200,91,0,0,394,0,,,,,0,0,0,7634,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1271,385,4174,59,169,110,0,0,1120,0,,,,,1229,0,0,8033,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,21,0,757,0,0,0,0,0,736,0,,,,,0,0,0,8462,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,68,200,2678,72,72,0,0,0,137,0,,,,,2201,0,0,8631,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,971,0,2346,107,201,0,0,0,1174,0,,,,,0,0,0,9357,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,2142,0,7303,361,671,310,0,0,2066,0,,,,,1576,0,848,9553,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,15573,0,133252,0,3698,1857,1500,0,7018,0,,,,,10893,96070,0,9807,2015-12-31
