RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,691,121,142,351,0,0,0,0,107,91,0,0,0,,37,2012-09-30
,,,,,,,,,,,,,21,0,0,0,0,0,0,0,21,0,0,0,0,,242,2012-09-30
,,,,,,,,,,,,,799,0,360,0,50,194,0,0,65,374,0,103,0,,279,2012-09-30
,,,,,,,,,,,,,5,0,0,0,0,0,0,0,5,0,0,0,0,,354,2012-09-30
,,,,,,,,,,,,,396,0,0,0,0,0,0,0,20,376,0,0,0,,457,2012-09-30
,,,,,,,,,,,,,3567,0,889,655,0,763,0,0,80,1850,93,0,0,,505,2012-09-30
,,,,,,,,,,,,,1749,0,1376,0,0,0,0,0,138,235,0,1324,0,,1155,2012-09-30
,,,,,,,,,,,,,624,0,33,0,0,33,0,0,331,260,0,0,0,,1351,2012-09-30
,,,,,,,,,,,,,1405,0,1065,0,0,0,0,0,75,265,0,881,0,,1454,2012-09-30
,,,,,,,,,,,,,507,0,40,436,0,30,0,0,31,0,0,0,0,,1557,2012-09-30
,,,,,,,,,,,,,692,0,117,391,0,0,0,0,127,57,0,99,0,,1669,2012-09-30
,,,,,,,,,,,,,1447,0,91,97,50,0,0,0,864,395,0,0,0,,1829,2012-09-30
,,,,,,,,,,,,,218,0,0,0,0,0,0,0,91,127,0,0,0,,1856,2012-09-30
,,,,,,,,,,,,,713,0,318,0,0,0,0,0,264,131,0,0,0,,2040,2012-09-30
,,,,,,,,,,,,,1995,0,1033,0,0,0,0,0,38,924,0,1033,0,,2161,2012-09-30
,,,,,,,,,,,,,34705,0,9859,0,0,0,0,0,335,24511,0,9438,0,,2376,2012-09-30
,,,,,,,,,,,,,26,0,0,0,0,0,0,0,26,0,0,0,0,,2554,2012-09-30
,,,,,,,,,,,,,2579,265,902,0,0,287,300,0,337,1340,0,46,0,,2732,2012-09-30
,,,,,,,,,,,,,133,0,0,0,0,0,0,0,36,87,10,0,0,,2750,2012-09-30
,,,,,,,,,,,,,8951,0,6711,0,845,0,0,0,6,2234,0,5668,0,,3177,2012-09-30
,,,,,,,,,,,,,263,0,0,0,0,0,0,0,115,148,0,0,0,,3252,2012-09-30
,,,,,,,,,,,,,223,0,8,0,0,8,0,0,15,200,0,0,0,,3458,2012-09-30
,,,,,,,,,,,,,1455,0,0,0,0,0,0,0,29,1426,0,0,0,,3720,2012-09-30
,,,,,,,,,,,,,20811,0,12763,0,4023,5549,0,0,321,7667,60,0,0,,3971,2012-09-30
,,,,,,,,,,,,,772,0,304,98,201,0,0,0,152,218,0,0,0,,4156,2012-09-30
,,,,,,,,,,,,,665,0,0,0,0,0,0,0,308,357,0,0,0,,4231,2012-09-30
,,,,,,,,,,,,,952,0,526,0,0,408,0,0,76,350,0,0,0,,4437,2012-09-30
,,,,,,,,,,,,,840,0,0,0,0,0,0,0,215,625,0,0,0,,4839,2012-09-30
,,,,,,,,,,,,,9288,0,282,0,0,0,0,0,1,9005,0,271,0,,5005,2012-09-30
,,,,,,,,,,,,,7092,0,774,0,686,0,0,0,1096,5022,200,0,0,,5069,2012-09-30
,,,,,,,,,,,,,1524,0,379,0,0,0,0,0,208,937,0,379,0,,5135,2012-09-30
,,,,,,,,,,,,,6404,0,4129,0,0,1068,0,0,1065,1137,73,1495,0,,5210,2012-09-30
,,,,,,,,,,,,,3146,0,127,0,0,127,0,0,57,2962,0,0,0,,5331,2012-09-30
,,,,,,,,,,,,,2698,0,1893,0,0,0,0,0,10,526,269,1758,0,,5461,2012-09-30
,,,,,,,,,,,,,783,0,545,74,0,430,0,0,26,138,0,107,0,,5751,2012-09-30
,,,,,,,,,,,,,210,0,0,0,0,0,0,0,104,106,0,0,0,,6039,2012-09-30
,,,,,,,,,,,,,113,0,0,15,0,0,0,0,36,62,0,0,0,,6141,2012-09-30
,,,,,,,,,,,,,2036,0,1440,0,205,0,0,0,254,342,0,1216,0,,6329,2012-09-30
,,,,,,,,,,,,,10014,0,1207,18,0,1207,0,0,4,8785,0,0,0,,7009,2012-09-30
,,,,,,,,,,,,,1252,0,0,774,0,0,0,0,69,409,0,0,0,,7045,2012-09-30
