RCON0211,RCON1039,RCON1041,RCON1042,RCON1043,RCON1044,RCON1209,RCON1280,RCON1281,RCON1282,RCON1287,RCON1374,RCON1709,RCON1713,RCON1733,RCON1736,RCON1752,RCON1754,RCON1773,RCON2155,RCON2163,RCON2192,RCON2920,RCON2941,RCON3129,RCON3190,RCON3545,RCON3548,RCON8492,RCON8495,RCON8496,RCON8499,RCONA510,RCONB989,RCONB995,RCONG389,RCONG390,RCONG393,RCONG394,RCONG397,RCONG398,RCONG399,RCONG400,RCONHT71,RCONJA22,RCONJF75,IDRSSD,RCON9999
0,,,,,,,,,,0,,0,0,0,0,143,0,31101,,,,,,,0,0,0,,,0,8402,0,0,0,,,,,,,,,,,,37,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,201,0,8293,,,,,,,3300,0,0,,,0,4109,3,0,0,,,,,,,,,,,,242,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1599,38734,29315,,,,,,,30979,0,0,,,4660,2764,6,0,0,,,,,,,,,,,,279,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,4,0,3656,,,,,,,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,354,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,235,257,617,,,,,,,2000,0,0,,,254,0,0,0,0,,,,,,,,,,,,457,2009-03-31
0,,,,,,,,,,0,,0,0,0,1262,3298,0,68533,,,,,,,47700,0,0,,,0,18514,0,0,0,,,,,,,,,,,,505,2009-03-31
0,,,,,,,,,,1559,,0,0,0,0,1111,1514,33984,,,,,,,0,0,0,,,1340,13772,0,0,11738,,,,,,,,,,,,1155,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,51929,4061,,,,,,,0,0,0,,,22166,0,0,0,0,,,,,,,,,,,,1351,2009-03-31
0,,,,,,,,,,1036,,0,0,0,0,1092,0,168290,,,,,,,0,0,0,,,0,53004,9,0,0,,,,,,,,,,,,1454,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,144,5646,7862,,,,,,,1761,0,0,,,5646,42,0,0,0,,,,,,,,,,,,1557,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,2757,0,51476,,,,,,,30000,0,0,,,0,1503,0,0,0,,,,,,,,,,,,1632,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,428,79505,49453,,,,,,,209,0,0,,,15772,0,0,0,0,,,,,,,,,,,,1669,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,2862,0,87457,,,,,,,35206,0,0,,,0,18192,1918,0,10970,,,,,,,,,,,,1829,2009-03-31
0,,,,,,,,,,0,,0,0,0,51607,4620,99356,126914,,,,,,,87825,0,0,,,2047,0,0,0,0,,,,,,,,,,,,1856,2009-03-31
0,,,,,,,,,,0,,0,0,0,6504,1546,0,39474,,,,,,,23943,0,0,,,0,18154,0,0,2724,,,,,,,,,,,,2040,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,276,4,36697,,,,,,,0,0,0,,,0,10489,0,0,0,,,,,,,,,,,,2161,2009-03-31
0,,,,,,,,,,0,,0,0,1084,0,24971,133584,260065,,,,,,,524453,0,0,,,0,0,5644,0,0,,,,,,,,,,,,2376,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1030,0,0,,,,,,,3370,0,0,,,0,0,0,0,0,,,,,,,,,,,,2451,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,0,1397,,,,,,,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,2554,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,174,0,58063,,,,,,,299,0,0,,,0,43872,0,0,0,,,,,,,,,,,,2732,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,526,0,11465,,,,,,,6600,0,0,,,0,2335,0,0,0,,,,,,,,,,,,2750,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,2408,0,100256,,,,,,,29000,0,0,,,0,2526,0,0,9696,,,,,,,,,,,,2938,2009-03-31
0,,,,,,,,,,0,,0,0,0,464,320,320,62242,,,,,,,3604,0,0,,,320,8537,0,0,0,,,,,,,,,,,,3252,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,181,1973,8992,,,,,,,0,0,0,,,1831,0,0,0,4610,,,,,,,,,,,,3458,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,710,9861,41441,,,,,,,5300,0,0,,,9861,6060,0,0,4009,,,,,,,,,,,,3720,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1044,0,4,,,,,,,5802,0,0,,,0,0,4,0,0,,,,,,,,,,,,3953,2009-03-31
0,,,,,,,,,,0,,0,0,0,1532,919,0,36684,,,,,,,1680,0,0,,,0,5911,32,0,461,,,,,,,,,,,,4138,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,2441,0,50077,,,,,,,19488,0,0,,,0,34242,0,0,0,,,,,,,,,,,,4156,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,0,27817,,,,,,,0,0,0,,,0,8423,0,0,0,,,,,,,,,,,,4231,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1175,1315,46307,,,,,,,11168,0,0,,,1315,23675,0,0,4611,,,,,,,,,,,,4437,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,2045,0,67192,,,,,,,38400,0,0,,,0,21884,0,0,7856,,,,,,,,,,,,4839,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,4728,418,53421,,,,,,,69726,0,0,,,100,6136,9932,0,0,,,,,,,,,,,,5005,2009-03-31
0,,,,,,,,,,1097,,0,0,0,0,0,0,15288,,,,,,,0,0,0,,,0,3095,13347,0,0,,,,,,,,,,,,5069,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1646,0,15006,,,,,,,23885,0,0,,,0,1883,0,0,0,,,,,,,,,,,,5135,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,9170,0,221161,,,,,,,110877,0,0,,,0,41899,0,0,39014,,,,,,,,,,,,5210,2009-03-31
0,,,,,,,,,,0,,0,0,0,25583,3842,0,176004,,,,,,,30040,0,0,,,0,34994,0,10000,93500,,,,,,,,,,,,5331,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,2214,0,50964,,,,,,,38162,0,0,,,0,23414,0,0,0,,,,,,,,,,,,5461,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,328,0,59269,,,,,,,0,0,0,,,0,9422,0,0,0,,,,,,,,,,,,5751,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,583,0,4846,,,,,,,0,0,0,,,0,440,6,0,0,,,,,,,,,,,,6039,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,13115,0,,,,,,,0,0,0,,,4127,0,0,0,0,,,,,,,,,,,,6141,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1135,505,36108,,,,,,,0,0,0,,,505,12272,0,0,0,,,,,,,,,,,,6329,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,4933,58895,40033,,,,,,,103330,0,0,,,47499,21108,0,0,7217,,,,,,,,,,,,6972,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,0,464740,,,,,,,0,0,0,,,0,66628,5447,0,0,,,,,,,,,,,,7009,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,18894,21472,,,,,,,0,0,0,,,18894,5354,0,0,0,,,,,,,,,,,,7045,2009-03-31
0,,,,,,,,,,511,,0,0,0,0,23,0,13413,,,,,,,0,0,0,,,0,4787,0,0,0,,,,,,,,,,,,7157,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,296,390,13890,,,,,,,0,0,0,,,390,0,0,0,0,,,,,,,,,,,,7456,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1180,16,7595,,,,,,,5000,0,0,,,0,4555,0,0,0,,,,,,,,,,,,7634,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1523,0,6468,,,,,,,23022,0,0,,,0,1406,0,0,0,,,,,,,,,,,,8033,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,21,0,64183,,,,,,,0,0,0,,,0,6911,0,0,0,,,,,,,,,,,,8462,2009-03-31
