RCFN2133,RCFN2898,IDRSSD,RCON9999
,,37,2018-06-30
,,242,2018-06-30
,,279,2018-06-30
,,354,2018-06-30
,,457,2018-06-30
,,505,2018-06-30
,,1155,2018-06-30
,,1351,2018-06-30
,,1454,2018-06-30
,,1669,2018-06-30
,,1856,2018-06-30
,,2040,2018-06-30
,,2161,2018-06-30
,,2376,2018-06-30
,,2554,2018-06-30
,,2732,2018-06-30
,,2750,2018-06-30
,,3252,2018-06-30
,,3458,2018-06-30
,,3720,2018-06-30
,,3971,2018-06-30
,,4156,2018-06-30
,,4231,2018-06-30
,,5069,2018-06-30
,,5135,2018-06-30
,,5210,2018-06-30
,,5461,2018-06-30
,,5751,2018-06-30
,,6039,2018-06-30
,,6329,2018-06-30
,,7009,2018-06-30
,,7045,2018-06-30
,,7072,2018-06-30
,,7456,2018-06-30
,,7634,2018-06-30
,,8033,2018-06-30
,,8462,2018-06-30
,,8631,2018-06-30
,,9357,2018-06-30
,,9553,2018-06-30
,,9807,2018-06-30
,,9955,2018-06-30
,,10250,2018-06-30
,,10849,2018-06-30
,,11145,2018-06-30
,,11640,2018-06-30
,,11837,2018-06-30
,,12030,2018-06-30
,,12142,2018-06-30
,,12179,2018-06-30
,,12311,2018-06-30
,,12647,2018-06-30
,,12656,2018-06-30
,,12937,2018-06-30
,,12946,2018-06-30
,,13103,2018-06-30
,,13251,2018-06-30
,,13457,2018-06-30
,,14052,2018-06-30
,,14155,2018-06-30
,,14650,2018-06-30
,,14753,2018-06-30
,,14865,2018-06-30
,,14977,2018-06-30
,,16551,2018-06-30
,,16748,2018-06-30
,,17110,2018-06-30
,,17147,2018-06-30
,,17259,2018-06-30
,,17950,2018-06-30
,,17978,2018-06-30
,,18050,2018-06-30
,,18135,2018-06-30
,,18827,2018-06-30
,,18836,2018-06-30
,,18854,2018-06-30
,,19356,2018-06-30
,,19936,2018-06-30
,,19972,2018-06-30
,,20053,2018-06-30
,,20633,2018-06-30
,,20857,2018-06-30
,,21256,2018-06-30
,,21359,2018-06-30
,,21658,2018-06-30
,,22048,2018-06-30
,,22543,2018-06-30
,,22552,2018-06-30
,,22730,2018-06-30
,,22936,2018-06-30
,,23456,2018-06-30
,,23504,2018-06-30
,,23643,2018-06-30
,,23755,2018-06-30
,,24006,2018-06-30
,,24378,2018-06-30
,,24453,2018-06-30
,,24659,2018-06-30
,,24668,2018-06-30
,,24949,2018-06-30
,,25357,2018-06-30
,,25647,2018-06-30
,,26176,2018-06-30
,,26242,2018-06-30
,,26457,2018-06-30
,,26765,2018-06-30
,,27070,2018-06-30
,,27548,2018-06-30
,,27614,2018-06-30
,,27847,2018-06-30
,,28013,2018-06-30
,,28152,2018-06-30
,,28255,2018-06-30
,,28406,2018-06-30
,,28675,2018-06-30
,,28732,2018-06-30
,,29476,2018-06-30
,,29636,2018-06-30
,,29878,2018-06-30
,,30052,2018-06-30
,,30502,2018-06-30
,,30650,2018-06-30
,,30810,2018-06-30
,,31134,2018-06-30
,,31255,2018-06-30
,,31657,2018-06-30
,,31826,2018-06-30
,,31835,2018-06-30
,,32234,2018-06-30
,,32766,2018-06-30
,,32971,2018-06-30
,,33147,2018-06-30
,,33259,2018-06-30
,,33268,2018-06-30
,,33370,2018-06-30
,,33839,2018-06-30
,,33857,2018-06-30
,,34425,2018-06-30
