RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3385,RCON3386,RCON3387,RCON3465,RCON3466,RCON3484,RCON3485,RCONA514,RCONA529,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17,IDRSSD,RCON9999
,,,,,,,,,,,,0,,43310,2594,65220,0,28938,0,642,,,0,7585,6875,25247,8558,2609,5768,0,10801,7527,,,37,2001-09-30
,,,,,,,,,,,,0,,15185,585,23897,0,,,,,,40,4148,1333,8683,4602,46,2526,,,2815,,,242,2001-09-30
,,,,,,,,,,,,0,,24444,2838,96659,1527,20506,0,493,,,202,6733,7430,50173,16388,41890,6340,0,1622,8479,,,279,2001-09-30
,,,,,,,,,,,,67,,3600,141,8473,0,,,,,,0,0,900,3130,3693,32,409,,,1933,,,354,2001-09-30
,,,,,,,,,,,,0,0,106805,8450,150544,0,69905,0,18063,,,0,13226,21042,50970,13477,5879,3328,0,11173,18037,,,439,2001-09-30
,,,,,,,,,,,,0,,12717,1567,19429,92,,,,,,0,1476,832,7961,2341,536,699,,,5114,,,457,2001-09-30
,,,,,,,,,,,,9,4000,160096,4951,244347,38,109849,0,24261,,,0,20473,32795,54460,20116,21832,17732,347,23202,69230,,,505,2001-09-30
,,,,,,,,,,,,562,1221,233544,3404,300364,10401,137498,,32690,,,0,27767,44977,87866,24923,1503,1751,49823,13252,60625,,,1146,2001-09-30
,,,,,,,,,,,,9933,0,84075,3194,126695,25,39265,4728,24157,,,0,15336,16749,45793,16249,1413,11821,550,5666,7016,,,1155,2001-09-30
,,,,,,,,,,,,0,,46479,5277,82844,0,20814,3635,12203,,,279,6285,11813,31921,22153,0,4506,0,9375,11083,,,1351,2001-09-30
,,,,,,,,,,,,0,0,135062,23422,273527,4228,56529,5842,22887,,,0,40760,24314,51525,41056,32406,16313,1220,48534,67717,,,1454,2001-09-30
,,,,,,,,,,,,0,,17065,5385,34848,0,7621,7134,1273,,,0,2990,3753,15081,7744,0,2887,0,1037,3653,,,1557,2001-09-30
,,,,,,,,,,,,13288,10000,146308,0,194565,0,100503,8691,26404,,,0,12194,24954,33115,30127,3327,4175,0,8163,55010,,,1632,2001-09-30
,,,,,,,,,,,,0,575,65036,15228,245225,4900,37311,0,9806,,,0,38993,29595,81112,136575,178,8813,0,17928,28933,,,1669,2001-09-30
,,,,,,,,,,,,5,0,110868,0,248596,5747,80353,0,23477,,,8970,15459,18036,73665,16279,48976,44231,672,5008,52582,,,1829,2001-09-30
,,,,,,,,,,,,0,,3740,633,9382,775,,,,,,0,1656,1334,2522,300,2639,0,,,1862,,,1856,2001-09-30
,,,,,,,,,,,,0,,6374,1002,17745,796,,,,,,0,0,425,3887,8786,0,13,,,6108,,,1959,2001-09-30
,,,,,,,,,,,,113,15411,97688,1447,123906,805,38983,0,49116,,,0,10970,14658,34838,2889,2705,14045,323,9193,30555,,,2040,2001-09-30
,,,,,,,,,,,,0,,50791,6876,92938,6650,31216,0,4904,,,0,16389,15614,25087,20951,1159,0,487,13065,13555,,,2161,2001-09-30
,,,,,,,,,,,,16536,0,358280,26688,677482,869,358024,0,0,,,0,25697,46706,321935,81725,150096,43900,0,256,144236,,,2376,2001-09-30
,,,,,,,,,,,,0,,9881,247,11717,12,,,,,,0,661,2108,4697,741,1,384,,,928,,,2451,2001-09-30
,,,,,,,,,,,,0,,3945,238,6238,0,,,,,,0,1334,400,1909,1012,15,245,,,472,,,2554,2001-09-30
,,,,,,,,,,,,293,282,283006,5935,402484,0,197671,0,80218,,,0,23639,93783,98445,31950,7,56941,0,5905,74092,,,2732,2001-09-30
,,,,,,,,,,,,0,,39889,2979,47044,0,13384,22726,4011,,,0,3895,7518,21898,2514,0,1472,0,1019,5984,,,2750,2001-09-30
,,,,,,,,,,,,30086,17554,206057,0,268258,458,128167,13394,46363,,,0,22909,31797,36832,30214,6907,4703,0,18133,59446,,,2938,2001-09-30
,,,,,,,,,,,,0,0,67844,7837,114617,97,56463,0,3012,,,0,11919,19886,41545,29871,144,3080,0,5521,15144,,,2956,2001-09-30
,,,,,,,,,,,,1072,,55814,157,83532,0,10988,27426,8357,,,98,11462,10623,22567,17075,0,3468,0,4043,15381,,,3252,2001-09-30
,,,,,,,,,,,,1618,,8146,499,19032,2664,,,,,,0,2863,2923,6399,6908,0,737,,,1692,,,3458,2001-09-30
,,,,,,,,,,,,11578,13000,583956,6796,805744,0,491191,0,46078,,,42213,13092,27177,190354,26934,116244,24495,119,4355,366499,,,3506,2001-09-30
,,,,,,,,,,,,4775,19886,147968,677,194987,80,97812,0,30604,,,0,22409,15775,64430,3082,2948,21575,0,18707,27015,,,3579,2001-09-30
,,,,,,,,,,,,1889,8745,68369,3243,123833,0,53434,2323,7130,,,0,26651,15927,34090,21383,12786,9520,0,5393,14198,,,3720,2001-09-30
,,,,,,,,,,,,0,,47161,2529,55578,0,13764,13976,14196,,,76,6508,6322,15195,0,0,0,0,3198,10885,,,3953,2001-09-30
,,,,,,,,,,,,43,5405,89110,1453,155661,0,64512,0,5812,,,0,12354,21014,50129,21591,13924,16101,0,16913,38549,,,4138,2001-09-30
