RCONFT04,RCONFT05,RCONHT81,RCONHT82,RCONHT86,RCONL191,RCONL192,RCONM288,RIADHT85,IDRSSD,RCON9999
,,,,,,,,,37,2002-03-31
,,,,,,,,,242,2002-03-31
,,,,,,,,,279,2002-03-31
,,,,,,,,,354,2002-03-31
,,,,,,,,,439,2002-03-31
,,,,,,,,,457,2002-03-31
,,,,,,,,,505,2002-03-31
,,,,,,,,,1146,2002-03-31
,,,,,,,,,1155,2002-03-31
,,,,,,,,,1351,2002-03-31
,,,,,,,,,1454,2002-03-31
,,,,,,,,,1557,2002-03-31
,,,,,,,,,1632,2002-03-31
,,,,,,,,,1669,2002-03-31
,,,,,,,,,1829,2002-03-31
,,,,,,,,,1856,2002-03-31
,,,,,,,,,2040,2002-03-31
,,,,,,,,,2161,2002-03-31
,,,,,,,,,2376,2002-03-31
,,,,,,,,,2451,2002-03-31
,,,,,,,,,2554,2002-03-31
,,,,,,,,,2732,2002-03-31
,,,,,,,,,2750,2002-03-31
,,,,,,,,,2938,2002-03-31
,,,,,,,,,2956,2002-03-31
,,,,,,,,,3252,2002-03-31
,,,,,,,,,3458,2002-03-31
,,,,,,,,,3506,2002-03-31
,,,,,,,,,3579,2002-03-31
,,,,,,,,,3720,2002-03-31
,,,,,,,,,3953,2002-03-31
,,,,,,,,,4138,2002-03-31
,,,,,,,,,4147,2002-03-31
,,,,,,,,,4156,2002-03-31
,,,,,,,,,4231,2002-03-31
,,,,,,,,,4437,2002-03-31
,,,,,,,,,4745,2002-03-31
,,,,,,,,,4839,2002-03-31
,,,,,,,,,5005,2002-03-31
,,,,,,,,,5050,2002-03-31
,,,,,,,,,5069,2002-03-31
,,,,,,,,,5135,2002-03-31
,,,,,,,,,5210,2002-03-31
,,,,,,,,,5247,2002-03-31
,,,,,,,,,5274,2002-03-31
,,,,,,,,,5331,2002-03-31
,,,,,,,,,5461,2002-03-31
,,,,,,,,,5751,2002-03-31
,,,,,,,,,5939,2002-03-31
,,,,,,,,,6039,2002-03-31
,,,,,,,,,6057,2002-03-31
,,,,,,,,,6141,2002-03-31
,,,,,,,,,6329,2002-03-31
,,,,,,,,,6842,2002-03-31
,,,,,,,,,6972,2002-03-31
,,,,,,,,,7009,2002-03-31
,,,,,,,,,7045,2002-03-31
,,,,,,,,,7157,2002-03-31
,,,,,,,,,7166,2002-03-31
,,,,,,,,,7456,2002-03-31
,,,,,,,,,7634,2002-03-31
,,,,,,,,,8033,2002-03-31
,,,,,,,,,8154,2002-03-31
,,,,,,,,,8417,2002-03-31
,,,,,,,,,8462,2002-03-31
,,,,,,,,,8547,2002-03-31
,,,,,,,,,8631,2002-03-31
,,,,,,,,,9115,2002-03-31
,,,,,,,,,9160,2002-03-31
,,,,,,,,,9339,2002-03-31
,,,,,,,,,9357,2002-03-31
,,,,,,,,,9553,2002-03-31
,,,,,,,,,9807,2002-03-31
,,,,,,,,,9955,2002-03-31
,,,,,,,,,10157,2002-03-31
,,,,,,,,,10250,2002-03-31
,,,,,,,,,10849,2002-03-31
,,,,,,,,,10858,2002-03-31
,,,,,,,,,11145,2002-03-31
,,,,,,,,,11350,2002-03-31
,,,,,,,,,11640,2002-03-31
,,,,,,,,,11837,2002-03-31
,,,,,,,,,12030,2002-03-31
,,,,,,,,,12058,2002-03-31
,,,,,,,,,12142,2002-03-31
,,,,,,,,,12245,2002-03-31
