RCFA2170,RCFA3128,RCFA3792,RCFA5310,RCFA5311,RCFA7204,RCFA7205,RCFA7206,RCFA8274,RCFAA223,RCFAA224,RCFAB530,RCFAB596,RCFAH015,RCFAH036,RCFAH311,RCFAH313,RCFAH314,RCFAJJ30,RCFAJJ31,RCFAJJ32,RCFAKW00,RCFAKW03,RCFAKX77,RCFAKX78,RCFAKX79,RCFAKX80,RCFAKX81,RCFAKX82,RCFAKX83,RCFALB58,RCFALB59,RCFALB60,RCFALB61,RCFAP742,RCFAP793,RCFAP839,RCFAP840,RCFAP841,RCFAP842,RCFAP843,RCFAP844,RCFAP846,RCFAP847,RCFAP848,RCFAP849,RCFAP850,RCFAP852,RCFAP857,RCFAP858,RCFAP859,RCFAP860,RCFAP861,RCFAP862,RCFAP863,RCFAP864,RCFAP865,RCFAP866,RCFAP867,RCFAP868,RCFAP870,RCFAP872,RCFAP875,RCFAQ258,RCFAS540,RCFW3792,RCFW5310,RCFW5311,RCFW7205,RCFW7206,RCFWA223,RCFWH312,RCFWP793,RCFWP851,RCFWP852,RCFWP853,RCFWP854,RCFWP855,RCFWP856,RCFWP857,RCFWP858,RCFWP859,RCFWP870,RCOA2170,RCOA3128,RCOA3792,RCOA5310,RCOA5311,RCOA7204,RCOA7205,RCOA7206,RCOA8274,RCOAA223,RCOAA224,RCOAB530,RCOAB596,RCOAH311,RCOAH313,RCOAH314,RCOAJJ29,RCOAJJ30,RCOAJJ31,RCOAJJ32,RCOAKW00,RCOAKX77,RCOAKX78,RCOAKX79,RCOAKX80,RCOAKX81,RCOAKX82,RCOAKX83,RCOALB58,RCOALB59,RCOALB60,RCOALB61,RCOALE74,RCOANC99,RCOAP742,RCOAP793,RCOAP838,RCOAP839,RCOAP840,RCOAP841,RCOAP842,RCOAP843,RCOAP844,RCOAP846,RCOAP847,RCOAP848,RCOAP849,RCOAP850,RCOAP852,RCOAP857,RCOAP858,RCOAP859,RCOAP860,RCOAP861,RCOAP862,RCOAP863,RCOAP864,RCOAP865,RCOAP866,RCOAP867,RCOAP868,RCOAP870,RCOAP872,RCOAP875,RCOAQ258,RCOAS540,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15756,521,521,18.6649%,38.2920%,37.0258%,15235,41147,81624,-496,0,30.2920%,,,,,,,,,,,,,,,,,,,,,4700,37.0258%,1,0,14482,0,0,0,-753,0,0,0,,0,15235,0,0,15235,0,0,0,0,0,0,0,0,0,521,0,0,0,,37,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5521,184,184,12.4842%,21.7354%,21.0110%,5337,25401,42750,-125,0,13.7354%,,,,,,,,,,,,,,,,,,,,,240,21.0110%,1,0,5212,0,0,0,-125,0,0,0,,0,5337,0,0,5337,0,0,0,0,0,0,0,0,0,184,0,0,0,,242,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30331,970,970,13.6791%,26.1675%,25.3306%,29361,115911,214641,-229,0,18.1675%,,,,,,,,,,,,,,,,,,,,,1,25.3306%,1,0,29132,0,0,0,-229,0,0,0,,0,29361,0,0,29361,0,0,0,0,0,0,0,0,0,970,0,0,0,,279,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318,52,52,15.2420%,32.1072%,30.8404%,1266,4105,8306,-6,0,24.1072%,,,,,,,,,,,,,,,,,,,,,1036,30.8404%,1,0,1335,0,0,75,-6,0,0,0,,0,1266,0,0,1266,0,0,0,0,0,0,0,0,0,52,0,75,0,,354,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5546,485,485,10.5319%,13.5447%,12.3602%,5061,40946,48054,0,0,5.5447%,,,,,,,,,,,,,,,,,,,,,4000,12.3602%,1,0,5061,0,0,0,0,0,0,0,,0,5061,0,0,5061,0,0,0,0,0,0,0,0,0,485,0,0,0,,457,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45054,4675,4675,8.0661%,12.0607%,10.8092%,40379,373561,500602,-3417,0,4.0607%,,,,,,,,,,,,,,,,,,,,,17133,10.8031%,1,0,38128,1189,0,0,-815,0,-2602,0,,0,40356,0,0,40356,0,0,23,23,0,23,0,0,0,4675,0,1189,0,,505,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23781,2392,2392,9.1923%,12.4954%,11.2386%,21389,190318,232685,-347,0,4.4954%,,,,,,,,,,,,,,,,,,,,,6500,11.2386%,1,0,21042,0,0,0,-347,0,0,0,,0,21389,0,0,21389,0,0,0,0,0,0,0,0,0,2392,0,0,0,,1155,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26399,1218,1218,16.6454%,23.5806%,22.4927%,25181,111952,151279,-164,0,15.5806%,,,,,,,,,,,,,,,,,,,,,770,22.4927%,1,0,25017,0,0,0,-164,0,0,0,,0,25181,0,0,25181,0,0,0,0,0,0,0,0,0,1218,0,0,0,,1351,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89022,3328,3355,11.7112%,29.3468%,28.2408%,85667,303345,731497,-9231,0,21.3468%,,,,,,,,,,,,,,,,,,,,,2214,28.2408%,1,0,76436,0,0,0,-9231,0,0,0,,0,85667,0,0,85667,0,0,0,0,0,0,0,0,0,3355,0,0,0,,1454,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47763,1711,1711,16.2261%,35.2027%,33.9416%,46052,135680,283815,-916,0,27.2027%,,,,,,,,,,,,,,,,,,,,,1600,33.9416%,1,0,45495,0,0,0,-557,0,0,0,,0,46052,0,0,46052,0,0,0,0,0,0,0,0,0,1711,0,0,0,,1669,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14995,581,581,12.0099%,27.8025%,26.7253%,14414,53934,120018,-835,0,19.8025%,,,,,,,,,,,,,,,,,,,,,14782,26.7253%,1,0,13677,98,0,0,-835,0,0,0,,0,14414,0,0,14414,0,0,0,0,0,0,0,0,0,581,0,98,0,,1856,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24231,2001,2001,11.0449%,15.2088%,13.9529%,22230,159322,201269,-171,0,7.2088%,,,,,,,,,,,,,,,,,,,,,4750,13.9529%,1,0,22479,0,0,0,249,0,0,0,,0,22230,0,0,22230,0,0,0,0,0,0,0,0,0,2001,0,0,0,,2040,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17436,948,948,10.8908%,17.7552%,16.7899%,16488,98202,151394,29,0,9.7552%,,,,,,,,,,,,,,,,,,,,,2356,16.7899%,1,0,16517,0,0,0,29,0,0,0,,0,16488,0,0,16488,0,0,0,0,0,0,0,0,0,948,0,0,0,,2161,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530406,30473,30473,12.1253%,14.3025%,13.4808%,499933,3708480,4123065,9080,0,6.3025%,,,,,,,,,,,,,,,,,,,,,44498,13.4808%,1,0,509012,0,0,0,-634,10383,-670,0,,0,499933,0,0,499933,0,0,0,0,0,0,0,0,0,30473,0,0,0,,2376,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,150,150,9.1893%,12.2305%,10.9867%,1325,12060,14419,-21,0,4.2305%,,,,,,,,,,,,,,,,,,,,,1325,10.9867%,1,0,1593,289,0,0,-21,0,0,0,,0,1325,0,0,1325,0,0,0,0,0,0,0,0,0,150,0,289,0,,2554,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94846,4695,4695,15.1664%,19.9646%,18.9763%,90151,475071,594412,-341,0,11.9646%,,,,,,,,,,,,,,,,,,,,,5789,18.9763%,1,0,90922,0,1112,0,-341,0,0,0,,0,90151,0,0,90151,0,0,0,0,0,0,0,0,0,4695,0,1112,0,,2732,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7699,580,580,12.3053%,16.6721%,15.4161%,7119,46179,57853,-261,0,8.6721%,,,,,,,,,,,,,,,,,,,,,6816,15.4161%,1,0,7054,0,0,0,-261,0,0,0,,0,7119,0,0,7119,0,0,0,0,0,0,0,0,0,580,0,0,0,,2750,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26899,1470,1470,13.3792%,23.3585%,22.0820%,25429,115157,190063,-945,0,15.3585%,,,,,,,,,,,,,,,,,,,,,500,22.0820%,1,0,24484,0,0,0,-945,0,0,0,,0,25429,0,0,25429,0,0,0,0,0,0,0,0,0,1470,0,0,0,,3252,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5017,383,383,9.6331%,12.9699%,11.9797%,4634,38682,48105,-33,0,4.9699%,,,,,,,,,,,,,,,,,,,,,1201,11.9797%,1,0,4601,0,0,0,-33,0,0,0,,0,4634,0,0,4634,0,0,0,0,0,0,0,0,0,383,0,0,0,,3458,2018-03-31
