RCFDHU20,RCFDHU21,RCFDHU22,RCFDHU23,RCFDJ981,RCFDJF77,RCFDJF78,RCFDJF84,RCFDJF85,RCFDJF86,RCFDJF87,RCFDJF88,RCFDJF89,RCFDJF90,RCFDJF91,RCFDJF92,RCFDJF93,RCFDK009,RCFDK030,RCFDK033,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,37,2013-09-30
,,,,,,,,,,,,,,,,,,,,242,2013-09-30
,,,,,,,,,,,,,,,,,,,,279,2013-09-30
,,,,,,,,,,,,,,,,,,,,354,2013-09-30
,,,,,,,,,,,,,,,,,,,,457,2013-09-30
,,,,,,,,,,,,,,,,,,,,505,2013-09-30
,,,,,,,,,,,,,,,,,,,,1155,2013-09-30
,,,,,,,,,,,,,,,,,,,,1351,2013-09-30
,,,,,,,,,,,,,,,,,,,,1454,2013-09-30
,,,,,,,,,,,,,,,,,,,,1557,2013-09-30
,,,,,,,,,,,,,,,,,,,,1669,2013-09-30
,,,,,,,,,,,,,,,,,,,,1829,2013-09-30
,,,,,,,,,,,,,,,,,,,,1856,2013-09-30
,,,,,,,,,,,,,,,,,,,,2040,2013-09-30
,,,,,,,,,,,,,,,,,,,,2161,2013-09-30
,,,,,,,,,,,,,,,,,,,,2376,2013-09-30
,,,,,,,,,,,,,,,,,,,,2554,2013-09-30
,,,,,,,,,,,,,,,,,,,,2732,2013-09-30
,,,,,,,,,,,,,,,,,,,,2750,2013-09-30
,,,,,,,,,,,,,,,,,,,,3177,2013-09-30
,,,,,,,,,,,,,,,,,,,,3252,2013-09-30
,,,,,,,,,,,,,,,,,,,,3458,2013-09-30
,,,,,,,,,,,,,,,,,,,,3720,2013-09-30
,,,,,,,,,,,,,,,,,,,,3971,2013-09-30
,,,,,,,,,,,,,,,,,,,,4156,2013-09-30
,,,,,,,,,,,,,,,,,,,,4231,2013-09-30
,,,,,,,,,,,,,,,,,,,,4437,2013-09-30
,,,,,,,,,,,,,,,,,,,,4839,2013-09-30
,,,,,,,,,,,,,,,,,,,,5005,2013-09-30
,,,,,,,,,,,,,,,,,,,,5069,2013-09-30
