RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4011,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4320,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD8761,RIAD8762,RIAD8763,RIAD9106,RIADA220,RIADA251,RIADA517,RIADA518,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB490,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33,IDRSSD,RCON9999
77,0,3,3601,,209,0,,0,82,,395,0,0,0,1906,2953,268,182,812,2357,4859,0,1260,25,,0,0,0,285,603,687,84,72,0,603,1688,768,388,34,64,6,1,0,,,,,,,,,0,0,,547,1248,false,0,854,,488,369,,0,0,0,0,85,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,603,,,,,,,,,,,,,,37,2009-12-31
27,-5,0,1312,,80,3,142,0,142,,155,0,0,0,397,1278,145,103,209,901,1675,34,582,13,,0,132,0,110,514,517,3,0,0,514,552,311,147,11,0,0,1,0,,,,,,,,,0,0,,59,168,true,0,227,,171,0,,0,0,0,0,35,0,0,0,5,1,0,0,0,0,,,,,,,,,,,,0,514,,,,,,,,,,,,,,242,2009-12-31
150,44,-604,4805,,66,8,,0,186,,287,15,0,4,3413,4421,1004,647,1436,4087,7834,3,2008,40,,0,1180,0,643,379,548,169,15,0,379,3152,712,287,31,0,5,-18,0,,,,,,,,,0,0,,773,1279,false,0,689,,244,2467,,0,0,0,0,317,0,0,0,0,54,0,0,0,0,,,,,,,,,,,,0,379,,,,,,,,,,,,,,279,2009-12-31
16,0,0,256,,18,1,44,0,44,,0,0,0,0,91,291,72,39,155,350,382,3,178,4,,0,0,0,17,26,13,-13,0,0,26,83,61,0,0,0,0,0,0,,,,,,,,,0,0,,10,65,false,0,50,,122,0,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,26,,,,,,,,,,,,,,354,2009-12-31
182,0,0,2150,,317,0,446,0,466,,21,0,0,0,666,1529,115,122,269,920,2195,0,517,9,,4,108,0,134,318,318,0,21,0,318,598,509,11,11,0,5,-47,0,,,,,,,,,0,0,,70,291,true,0,260,,19,0,,0,0,0,0,40,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,318,,,,,,,,,,,,,,457,2009-12-31
918,-15,0,15135,,766,8,0,0,318,,1063,0,0,591,4750,13625,2027,636,3681,11339,18375,26,6587,110,,0,1898,0,1066,2513,3398,885,318,0,2513,9298,2752,670,7,75,121,65,51,,,,,,,,,0,0,0,692,1235,false,0,2001,,297,1725,,0,29,0,0,571,0,5,0,8,36,40,0,0,0,,,,,,,,,,,,0,2513,,,,,,,,,,,,,,505,2009-12-31
167,0,0,9453,,2312,0,,0,587,,594,0,0,113,3595,7377,2247,1149,2274,5471,10972,18,2696,52,,197,6,0,501,2651,2733,82,136,0,2651,1681,4097,594,663,0,17,25,199,,,,,,,,,0,0,,1005,1557,true,55,721,,883,7,,0,0,0,1,569,0,0,0,16,5,135,35,0,0,,,,,,,,,,,,0,2651,,,,,,,,,,,,,,1155,2009-12-31
368,0,0,5606,,1429,12,415,0,415,,924,1,0,0,3155,4738,576,374,732,2371,7893,0,1337,28,,0,0,0,302,2651,2651,0,1,0,2651,913,1768,924,256,0,0,14,0,,,,,,,,,0,0,,938,1593,true,0,1081,,1333,17,,0,0,0,0,157,0,0,0,31,0,0,0,0,0,,,,,,,,,,,,0,2651,,,,,,,,,,,,,,1351,2009-12-31
448,21,0,13988,,1702,7,177,0,177,,2352,1,0,1702,2475,18670,5048,1047,4646,15908,21145,133,9093,149,,0,0,0,2152,7231,7231,0,1,0,7231,5908,4044,1801,89,0,6,-97,174,,,,,,,,,0,0,0,782,1156,true,0,2157,,3498,1160,,0,48,0,-38,2090,0,17,0,18,104,0,0,0,0,,,,,,,,,,,,0,7231,,,,,,,,,,,,,,1454,2009-12-31
13,0,0,1718,,80,1,841,0,841,,182,2,0,0,521,1669,121,100,270,1029,2190,21,607,11,,0,69,0,152,525,761,236,0,0,525,125,616,182,11,16,2,0,0,,,,,,,,,0,0,,160,268,false,0,56,,264,0,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,525,,,,,,,,,,,,,,1557,2009-12-31
2360,108,0,35812,,4475,244,379,0,1284,,78,0,0,0,13332,25118,-1587,2698,8131,17824,38450,5,7507,118,,68,201,0,2186,-21360,-26024,-4664,238,0,-21360,8606,20350,78,239,58,7,-6069,331,,,,,,,,,0,0,0,5390,5074,false,0,1097,,1305,999,,0,0,0,-10,1071,0,0,0,2,328,62,0,0,0,,,,,,,,,,,,0,-21360,,,,,,,,,,,,,,1632,2009-12-31
159,0,0,5238,,683,22,,0,230,,691,0,0,0,2700,7819,1725,1007,1564,5143,10519,37,2932,59,,0,0,0,471,3077,4159,1082,0,0,3077,2803,527,614,237,37,6,6,0,,,,,,,,,0,0,,904,1400,false,0,995,,4354,171,,0,0,0,12,692,0,176,0,8,0,0,0,0,0,,,,,,,,,,,,0,3077,,,,,,,,,,,,,,1669,2009-12-31
1103,0,0,14340,,1534,0,0,64,0,,971,1566,0,0,6996,12733,2056,1087,4777,11157,19729,231,5287,94,,170,1244,0,1093,2729,3272,543,1086,0,2729,7480,5084,737,20,0,1,-12,2,,,,,,,,,0,0,0,1376,3083,false,61,117,,582,2038,,0,0,0,-2,750,0,0,1,3,0,127,100,0,0,,,,,,,,,,,,0,2729,,,,,,,,,,,,,,1829,2009-12-31
82,-5501,0,875,,427,15,47,0,47,,298,0,0,0,6841,10629,168,142,1326,1909,17470,150,428,9,,1,1681,0,155,3339,3339,0,0,0,3339,112,201,298,26,0,164,0,0,,,,,,,,,0,0,,259,4792,true,0,88,,1515,14453,,0,0,0,0,26,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,3339,,,,,,,,,,,,,,1856,2009-12-31
421,32,0,9490,,699,6,,0,105,,764,0,0,0,4629,6480,1372,593,2118,5037,11109,0,2376,46,,70,979,0,543,1726,2248,522,3,0,1726,2308,5998,715,264,0,0,21,213,,,,,,,,,0,0,,376,2519,false,70,310,,16,833,,0,22,0,-22,450,0,0,0,15,0,0,80,0,0,,,,,,,,,,,,0,1726,,,,,,,,,,,,,,2040,2009-12-31
232,256,0,4323,,885,15,202,0,233,,343,0,0,0,1515,4327,995,563,1536,3501,5842,46,1669,32,,0,0,0,296,2030,2030,0,0,0,2030,2042,297,343,208,0,13,0,0,,,,,,,,,0,0,,651,424,true,38,828,,91,1011,,0,0,0,0,420,0,0,0,12,0,0,0,0,0,,,,,,,,,,,,0,2030,,,,,,,,,,,,,,2161,2009-12-31
5522,-233,0,78019,,710,0,0,0,0,,232,0,0,0,46321,49207,6065,700,8251,29502,95528,161,18981,177,,440,20612,0,2270,9664,15982,6318,0,0,9664,19733,57562,0,127,0,1251,0,0,0,,,,,,,,0,0,0,6862,12758,false,0,14,,5273,10592,,0,0,0,1043,4322,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,9664,,,,,,,,,,,,,,2376,2009-12-31
68,0,0,1824,,383,3,206,0,206,,15,0,0,0,969,1060,972,90,1029,2149,2029,167,1036,18,,0,40,0,84,-691,-1009,-318,0,0,-691,501,657,0,5,0,20,0,12,,,,,,,,,0,0,,86,770,false,0,77,,0,0,,0,0,0,0,861,0,0,0,9,0,0,0,0,0,,,,,,,,,,,,0,-691,,,,,,,,,,,,,,2451,2009-12-31
5,17,0,352,,51,0,111,0,111,,0,0,0,0,113,361,50,40,104,263,474,86,140,4,,1,0,0,19,127,127,0,0,0,127,32,128,0,3,0,0,0,0,,,,,,,,,0,0,,36,68,true,0,30,,36,0,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,127,,,,,,,,,,,,,,2554,2009-12-31
314,32,0,22962,,3103,0,0,0,0,,1586,0,0,94,5379,19629,1240,877,4397,11951,25008,35,5954,100,,0,0,0,1600,2425,3150,725,0,0,2425,1390,18093,1532,89,0,0,0,0,,,,,,,,,0,0,0,3853,1123,false,0,376,,425,0,,0,0,0,0,160,0,0,0,0,109,0,0,0,0,,,,,,,,,,,,0,2425,,,,,,,,,,,,,,2732,2009-12-31
60,-25,0,2373,,180,1,1216,0,1216,,123,0,0,0,1079,1803,185,124,540,1378,2882,13,728,11,,1,260,0,110,395,415,20,0,0,395,203,600,98,15,11,10,0,1,,,,,,,,,0,0,,333,410,true,0,174,,131,231,,0,0,0,4,56,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,395,,,,,,,,,,,,,,2750,2009-12-31
1872,234,0,26241,,4625,202,187,0,354,,112,0,0,0,9398,21429,2736,3443,7052,15264,30827,7,6746,107,,146,141,0,1466,-6509,-10912,-4403,76,0,-6509,6405,14095,112,198,7,-8,-2269,-6,,,,,,,,,0,0,0,4336,2705,false,0,762,,2236,2037,,0,0,0,-12,1157,0,0,0,7,301,115,0,0,0,,,,,,,,,,,,0,-6509,,,,,,,,,,,,,,2938,2009-12-31
275,177,0,5113,,566,3,1884,0,2012,,424,6,0,0,1626,6264,623,543,1227,3446,7890,84,2013,34,,13,121,0,206,3011,3068,57,83,0,3011,57,1719,349,223,58,2,-1,0,,,,,,,,,0,0,,492,502,true,0,759,,138,2120,,0,0,0,0,71,0,0,0,10,0,0,0,0,0,,,,,,,,,,,,0,3011,,,,,,,,,,,,,,3252,2009-12-31
