RIAD3210,RIAD3217,RIAD4356,RIAD4415,RIAD4460,RIAD4470,RIADB507,RIADB508,RIADB509,RIADB510,RIADB511,IDRSSD,RCON9999
16497,14813,0,0,120,0,0,14813,0,0,1302,37,2019-09-30
5158,4879,0,0,503,0,0,4879,0,0,286,242,2019-09-30
30746,29673,0,0,0,0,0,29673,1,0,349,279,2019-09-30
1502,1338,0,0,0,0,0,1338,0,0,7,354,2019-09-30
4567,5407,0,0,1673,0,0,5407,0,0,0,457,2019-09-30
50792,47008,0,0,490,0,0,47008,0,0,1193,505,2019-09-30
24460,22423,0,0,2140,0,0,22423,0,0,509,1155,2019-09-30
26213,25768,0,0,1218,0,0,25768,0,0,139,1351,2019-09-30
96543,81199,0,0,4000,0,0,81199,0,0,10995,1454,2019-09-30
49863,45925,0,0,0,0,0,45925,0,0,970,1669,2019-09-30
13900,13231,0,0,450,0,0,13231,0,0,1515,1856,2019-09-30
19814,16515,0,2430,913,0,0,16515,0,0,275,2161,2019-09-30
496010,506101,0,0,40200,0,0,506101,0,2243,-9435,2376,2019-09-30
98968,95079,0,0,900,0,0,95079,0,0,514,2732,2019-09-30
7458,7187,0,0,537,0,0,7187,-2,0,144,2750,2019-09-30
28186,25457,0,0,1150,0,0,25457,0,0,1099,3252,2019-09-30
5157,4884,0,0,0,0,0,4884,0,0,68,3458,2019-09-30
41372,37239,0,0,432,0,0,37239,0,0,1660,3720,2019-09-30
105135,102386,-43,0,3500,0,0,102386,0,0,505,3971,2019-09-30
24039,22611,0,0,632,0,0,22611,0,0,855,4156,2019-09-30
17852,16297,0,0,543,0,0,16297,0,0,1203,4231,2019-09-30
205284,196656,0,0,8367,0,0,196656,0,0,1517,5069,2019-09-30
76849,71303,0,0,433,0,0,71303,0,0,783,5135,2019-09-30
173294,156651,0,0,5150,0,0,156651,0,0,3407,5210,2019-09-30
69163,61332,0,0,3409,0,0,61332,0,0,4541,5461,2019-09-30
37428,34294,0,0,1350,0,0,34294,0,0,888,5751,2019-09-30
32133,30114,0,0,0,0,0,30114,0,0,274,6039,2019-09-30
82353,72559,0,2300,2150,0,0,72559,0,0,354,6329,2019-09-30
84049,73985,0,0,11500,0,0,73985,0,0,932,7009,2019-09-30
23770,19026,0,0,0,0,0,19026,0,0,3460,7045,2019-09-30
37896,35333,0,0,0,0,0,35333,0,0,507,7072,2019-09-30
9547,8762,0,0,250,0,0,8762,0,0,116,7456,2019-09-30
10500,9974,0,0,833,0,0,9974,0,0,351,7634,2019-09-30
