RCFDJJ03,RCONJJ03,RIAD3123,RIAD4230,RIAD4605,RIAD5523,RIADB522,RIADC079,RIADC233,RIADC389,RIADC390,RIADC435,RIADC781,RIADJH88,RIADJH89,RIADJH90,RIADJH91,RIADJH92,RIADJH93,RIADJH94,RIADJH95,RIADJH96,RIADJH97,RIADJH98,RIADJH99,RIADJJ00,RIADJJ01,RIADJJ02,RIADMG93,RIADMG94,IDRSSD,RCON9999
,,1070,135,64,0,942,71,,,,,,,,,,,,,,,,,,,,,,,37,2001-09-30
,,123,0,3,0,127,7,,,,,,,,,,,,,,,,,,,,,,,242,2001-09-30
,,279,0,9,0,270,0,,,,,,,,,,,,,,,,,,,,,,,279,2001-09-30
,,131,0,17,0,129,15,,,,,,,,,,,,,,,,,,,,,,,354,2001-09-30
,,873,0,36,0,1233,396,,,,,,,,,,,,,,,,,,,,,,,439,2001-09-30
,,156,3,2,0,164,13,,,,,,,,,,,,,,,,,,,,,,,457,2001-09-30
,,2006,1389,129,0,1281,793,,,,,,,,,,,,,,,,,,,,,,,505,2001-09-30
,,2551,560,66,0,2396,471,,,,,,,,,,,,,,,,,,,,,,,1146,2001-09-30
,,1211,135,9,0,1133,66,,,,,,,,,,,,,,,,,,,,,,,1155,2001-09-30
,,358,75,6,0,329,52,,,,,,,,,,,,,,,,,,,,,,,1351,2001-09-30
,,841,104,35,0,843,141,,,,,,,,,,,,,,,,,,,,,,,1454,2001-09-30
,,357,0,9,0,350,2,,,,,,,,,,,,,,,,,,,,,,,1557,2001-09-30
,,2036,241,64,0,1961,230,,,,,,,,,,,,,,,,,,,,,,,1632,2001-09-30
,,718,120,49,0,715,166,,,,,,,,,,,,,,,,,,,,,,,1669,2001-09-30
,,1684,340,40,0,1607,303,,,,,,,,,,,,,,,,,,,,,,,1829,2001-09-30
,,137,0,18,0,125,6,,,,,,,,,,,,,,,,,,,,,,,1856,2001-09-30
,,327,0,7,0,324,4,,,,,,,,,,,,,,,,,,,,,,,1959,2001-09-30
,,1191,135,27,0,1105,76,,,,,,,,,,,,,,,,,,,,,,,2040,2001-09-30
,,498,15,7,0,516,40,,,,,,,,,,,,,,,,,,,,,,,2161,2001-09-30
,,5046,270,0,0,4776,0,,,,,,,,,,,,,,,,,,,,,,,2376,2001-09-30
,,101,40,2,0,89,30,,,,,,,,,,,,,,,,,,,,,,,2451,2001-09-30
,,51,18,0,0,42,9,,,,,,,,,,,,,,,,,,,,,,,2554,2001-09-30
,,2172,250,102,0,1902,82,,,,,,,,,,,,,,,,,,,,,,,2732,2001-09-30
,,831,201,29,0,803,202,,,,,,,,,,,,,,,,,,,,,,,2750,2001-09-30
,,2500,378,10,0,2693,581,,,,,,,,,,,,,,,,,,,,,,,2938,2001-09-30
,,850,82,23,0,791,46,,,,,,,,,,,,,,,,,,,,,,,2956,2001-09-30
,,899,150,136,0,874,261,,,,,,,,,,,,,,,,,,,,,,,3252,2001-09-30
