RCONJJ04,RCONJJ05,RCONJJ06,RCONJJ07,RCONJJ08,RCONJJ09,RCONJJ11,RCONJJ12,RCONJJ13,RCONJJ14,RCONJJ15,RCONJJ16,RCONJJ17,RCONJJ18,RCONJJ19,RCONJJ20,RCONJJ21,RCONJJ23,RCONJJ24,RCONJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,37,2001-03-31
,,,,,,,,,,,,,,,,,,,,242,2001-03-31
,,,,,,,,,,,,,,,,,,,,279,2001-03-31
,,,,,,,,,,,,,,,,,,,,354,2001-03-31
,,,,,,,,,,,,,,,,,,,,439,2001-03-31
,,,,,,,,,,,,,,,,,,,,457,2001-03-31
,,,,,,,,,,,,,,,,,,,,505,2001-03-31
,,,,,,,,,,,,,,,,,,,,1146,2001-03-31
,,,,,,,,,,,,,,,,,,,,1155,2001-03-31
,,,,,,,,,,,,,,,,,,,,1351,2001-03-31
,,,,,,,,,,,,,,,,,,,,1454,2001-03-31
,,,,,,,,,,,,,,,,,,,,1557,2001-03-31
,,,,,,,,,,,,,,,,,,,,1632,2001-03-31
,,,,,,,,,,,,,,,,,,,,1669,2001-03-31
,,,,,,,,,,,,,,,,,,,,1829,2001-03-31
,,,,,,,,,,,,,,,,,,,,1856,2001-03-31
,,,,,,,,,,,,,,,,,,,,1959,2001-03-31
,,,,,,,,,,,,,,,,,,,,2040,2001-03-31
,,,,,,,,,,,,,,,,,,,,2161,2001-03-31
,,,,,,,,,,,,,,,,,,,,2376,2001-03-31
,,,,,,,,,,,,,,,,,,,,2451,2001-03-31
,,,,,,,,,,,,,,,,,,,,2554,2001-03-31
,,,,,,,,,,,,,,,,,,,,2732,2001-03-31
,,,,,,,,,,,,,,,,,,,,2750,2001-03-31
,,,,,,,,,,,,,,,,,,,,2938,2001-03-31
,,,,,,,,,,,,,,,,,,,,2956,2001-03-31
,,,,,,,,,,,,,,,,,,,,3252,2001-03-31
,,,,,,,,,,,,,,,,,,,,3458,2001-03-31
,,,,,,,,,,,,,,,,,,,,3506,2001-03-31
,,,,,,,,,,,,,,,,,,,,3579,2001-03-31
,,,,,,,,,,,,,,,,,,,,3720,2001-03-31
,,,,,,,,,,,,,,,,,,,,3953,2001-03-31
,,,,,,,,,,,,,,,,,,,,4138,2001-03-31
,,,,,,,,,,,,,,,,,,,,4147,2001-03-31
,,,,,,,,,,,,,,,,,,,,4156,2001-03-31
