RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCFDJJ24,RCFDJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,37,2012-06-30
,,,,,,,,,,,,,,,,,,,,242,2012-06-30
,,,,,,,,,,,,,,,,,,,,279,2012-06-30
,,,,,,,,,,,,,,,,,,,,354,2012-06-30
,,,,,,,,,,,,,,,,,,,,457,2012-06-30
,,,,,,,,,,,,,,,,,,,,505,2012-06-30
,,,,,,,,,,,,,,,,,,,,1155,2012-06-30
,,,,,,,,,,,,,,,,,,,,1351,2012-06-30
,,,,,,,,,,,,,,,,,,,,1454,2012-06-30
,,,,,,,,,,,,,,,,,,,,1557,2012-06-30
,,,,,,,,,,,,,,,,,,,,1669,2012-06-30
,,,,,,,,,,,,,,,,,,,,1829,2012-06-30
,,,,,,,,,,,,,,,,,,,,1856,2012-06-30
,,,,,,,,,,,,,,,,,,,,2040,2012-06-30
,,,,,,,,,,,,,,,,,,,,2161,2012-06-30
,,,,,,,,,,,,,,,,,,,,2376,2012-06-30
,,,,,,,,,,,,,,,,,,,,2554,2012-06-30
,,,,,,,,,,,,,,,,,,,,2732,2012-06-30
,,,,,,,,,,,,,,,,,,,,2750,2012-06-30
,,,,,,,,,,,,,,,,,,,,3177,2012-06-30
,,,,,,,,,,,,,,,,,,,,3252,2012-06-30
,,,,,,,,,,,,,,,,,,,,3458,2012-06-30
,,,,,,,,,,,,,,,,,,,,3720,2012-06-30
,,,,,,,,,,,,,,,,,,,,3971,2012-06-30
,,,,,,,,,,,,,,,,,,,,4156,2012-06-30
,,,,,,,,,,,,,,,,,,,,4231,2012-06-30
,,,,,,,,,,,,,,,,,,,,4437,2012-06-30
,,,,,,,,,,,,,,,,,,,,4839,2012-06-30
,,,,,,,,,,,,,,,,,,,,5005,2012-06-30
,,,,,,,,,,,,,,,,,,,,5069,2012-06-30
,,,,,,,,,,,,,,,,,,,,5135,2012-06-30
,,,,,,,,,,,,,,,,,,,,5210,2012-06-30
,,,,,,,,,,,,,,,,,,,,5331,2012-06-30
,,,,,,,,,,,,,,,,,,,,5461,2012-06-30
,,,,,,,,,,,,,,,,,,,,5751,2012-06-30
,,,,,,,,,,,,,,,,,,,,6039,2012-06-30
,,,,,,,,,,,,,,,,,,,,6141,2012-06-30
,,,,,,,,,,,,,,,,,,,,6329,2012-06-30
,,,,,,,,,,,,,,,,,,,,7009,2012-06-30
,,,,,,,,,,,,,,,,,,,,7045,2012-06-30
,,,,,,,,,,,,,,,,,,,,7072,2012-06-30
,,,,,,,,,,,,,,,,,,,,7157,2012-06-30
,,,,,,,,,,,,,,,,,,,,7456,2012-06-30
,,,,,,,,,,,,,,,,,,,,7634,2012-06-30
,,,,,,,,,,,,,,,,,,,,8033,2012-06-30
,,,,,,,,,,,,,,,,,,,,8462,2012-06-30
,,,,,,,,,,,,,,,,,,,,8631,2012-06-30
,,,,,,,,,,,,,,,,,,,,9357,2012-06-30
,,,,,,,,,,,,,,,,,,,,9553,2012-06-30
,,,,,,,,,,,,,,,,,,,,9807,2012-06-30
,,,,,,,,,,,,,,,,,,,,9955,2012-06-30
,,,,,,,,,,,,,,,,,,,,10250,2012-06-30
,,,,,,,,,,,,,,,,,,,,10849,2012-06-30
,,,,,,,,,,,,,,,,,,,,10858,2012-06-30
,,,,,,,,,,,,,,,,,,,,11145,2012-06-30
,,,,,,,,,,,,,,,,,,,,11275,2012-06-30
,,,,,,,,,,,,,,,,,,,,11640,2012-06-30
,,,,,,,,,,,,,,,,,,,,11837,2012-06-30
,,,,,,,,,,,,,,,,,,,,12030,2012-06-30
,,,,,,,,,,,,,,,,,,,,12142,2012-06-30
