RIAD0497,RIAD4042,RIAD4136,RIAD4141,RIAD4146,RIAD4461,RIAD4462,RIAD4463,RIAD4464,RIAD4467,RIAD4468,RIAD4486,RIAD4487,RIAD4488,RIAD4489,RIAD4491,RIAD4498,RIAD4499,RIAD4521,RIAD4522,RIAD4769,RIAD8403,RIADB526,RIADB527,RIADC013,RIADC014,RIADC015,RIADC016,RIADC017,RIADC018,RIADF555,RIADF556,RIADF557,RIADF558,RIADF559,RIADFT29,RIADFT30,RIADFT31,RIADFT32,RIADJJ26,RIADJJ27,RIADJJ28,RIADT047,RIADY923,RIADY924,IDRSSD,RCON9999
0,0,0,0,,0,0,0,151,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,37,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,242,2017-06-30
28,0,114,35,,0,0,0,199,16,22,,,,,,0,0,0,0,false,29,0,0,15,53,7,195,238,39,0,45,0,13,10,0,0,0,0,,,,3,0,20,279,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,-5,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,354,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,1,,,,,,,0,0,0,0,,,,,,,457,2017-06-30
160,0,101,0,,0,0,0,385,179,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,368,0,294,103,0,168,0,0,0,0,0,,,,0,0,0,505,2017-06-30
276,,78,,,,,,162,,,,,,,,0,0,0,0,false,,0,0,,73,,,205,,277,,,,,0,0,0,0,,,,,,,1155,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1351,2017-06-30
291,0,156,0,,171,0,0,174,162,108,,,,,,0,0,0,0,false,146,0,0,0,0,0,0,282,0,900,0,0,499,0,0,0,0,0,,,,0,0,0,1454,2017-06-30
15,1,17,5,,,,,32,12,11,,,,,,0,0,0,0,false,6,0,0,,,5,,18,9,9,14,,3,3,0,0,0,0,,,,,,,1557,2017-06-30
15,,29,5,,,,,,,,,,,,,0,0,0,0,false,37,0,0,16,194,24,0,329,44,341,38,,46,44,0,0,0,0,,,,,,,1669,2017-06-30
14,,52,2,,,,,,,,,,,,,0,0,0,0,false,3,0,0,,,2,10,12,10,,12,50,,6,0,0,0,0,,,,,,,1856,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,307,0,109,0,0,0,0,0,0,0,0,,,,0,0,0,2040,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,200,0,173,0,0,154,0,0,0,0,0,,,,0,0,0,2161,2017-06-30
287,0,289,11,,194,130,0,538,5169,7670,,,,,,0,0,0,0,false,112,0,0,0,1274,21,89,869,197,162,601,397,210,80,0,0,0,0,,,,0,183,190,2376,2017-06-30
,,5,,,,,,,,,,,,,,0,0,0,0,false,1,0,0,,,1,,2,1,-1,,1,,3,0,0,0,0,,,,,,,2554,2017-06-30
261,0,82,30,,0,0,0,0,0,0,,,,,,0,0,0,0,false,43,0,0,0,0,50,0,321,51,0,60,0,0,60,0,0,0,0,,,,0,0,0,2732,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,,,,0,0,0,2750,2017-06-30
0,0,0,0,,0,0,0,118,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3252,2017-06-30
