RCON8725,RCONA126,RCONC391,RCONFT00,RCONFT01,RCONFT02,RCONFT03,RCONFT04,RCONFT05,RCONFT06,RCONFT07,RCONFT08,RCONFT09,RCONFT10,RCONFT11,RCONFT12,RCONFT13,RCONFT14,RCONFT15,RCONFT16,RCONHK18,RCONHK19,RIADC388,RIADC389,RIADC390,RIADF551,RIADF553,IDRSSD,RCON9999
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,37,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,242,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,279,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,354,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,457,2017-09-30
,,,false,,,false,,,false,false,,true,24077,true,24914,false,,,false,,,,,,,,505,2017-09-30
2011,0,,true,0,0,false,,,false,false,,false,,true,17286,false,,,false,,,,,,,,1155,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,1351,2017-09-30
490,0,,true,0,0,false,,,false,false,,true,5806,true,79002,false,,,false,,,,,,,,1454,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,1557,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,1669,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,1856,2017-09-30
9985,0,,true,0,0,false,,,false,false,,false,,false,,false,,,false,,,,,,,,2040,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2161,2017-09-30
425000,0,,,,,,,,,,,,,,,,,,,,,,,,,,2376,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,2554,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,2732,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,2750,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,3252,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,3458,2017-09-30
1070,0,,,,,,,,,,,,,,,,,,,,,,,,,,3720,2017-09-30
,,,false,,,true,38664,8078,false,false,,true,425,true,303584,false,,,false,,,,,,,,3971,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4156,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,4231,2017-09-30
8290,0,,true,0,0,false,,,false,false,,true,10420,false,,false,,,false,,,,,,,,4839,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,5069,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,5135,2017-09-30
